ProposedPersonType,TaleoCandidateID,WPEmployeeID,FirstName,MiddleName,LastName,Email,Address,Address2,Country,State,County,City,ZipCode,HomePhone,MobilePhone,SSN,Birthdate,Department,WorkAssignmentManager,PrimaryLocationName,LegalEmployer,JobGrade,GlobalJobTitle,StartDate,BasePay,DateFrom,ActionCode,PayFrequency,Schedule,Currency,SalaryBasis,ContractorPayRate,AgencyBillRate,WorkerCategory
Agency Contractor,3119816,3119816,Eliana,Jane,Rogers,ERogers_3119816@invalidemail.com,9/999 main road,9/999 main road,United States,Texas,Montgomery,Spring,77380,3334445555,3334445555,333-33-3333,3/3/65,800547602800505000 USA - HOUSTON PROJECT MANAGEMENT,3119816,AR Buenos Aires - Alem,Worley Group Inc.,6A.OTH,4010.Purc.BuyerSnr5A,30-06-25,,30-06-25,Hire,Hourly,FT,USD,AR Monthly Salary Basis,,25,Craft
Agency Contractor,8178850,8178850,Craft,Jane,Tester,crafttester@test.com,9/999 main road,9/999 main road,United States,Texas,Montgomery,Spring,77380,3334445555,3334445555,333-33-3333,2/2/56,800666304812500135 USA-ANCHORAGE OPS AND MAINT,8178850,AR Buenos Aires - Alem,Worley Engineering Services Inc.,6A.OTH,5313.Trade.J16A,30-06-25,25,30-06-25,Hire,Hourly,FT,USD,AR Monthly Salary Basis,25,,Craft
Direct Contractor,8178853,8178853,LAM,Jane,Tester,lamtester@test.com,9/999 main road,9/999 main road,United States,Texas,Montgomery,Spring,77380,6667778888,6667778888,333-33-3333,10/12/56,908027506908005000 ARGENTINA - BUENOS AIRES PURCHASING,8178853,AR Buenos Aires - Alem,Worley Argentina S.A,6A.OTH,4010.Purc.BuyerSnr5A,30-06-25,1000,30-06-25,Hire,Monthly,FT,ARS,AR Monthly Salary Basis,100,,Staff
Employee,8178848,8178848,Canada,Jane,Tester,canadatester@test.com,9/999 main road,9/999 main road,United States,Texas,Montgomery,Spring,77380,,,111-11-1111,7/12/56,700107916701105000 CANADA - CALGARY GEOSCIENCE,8178848,AR Buenos Aires - Alem,Worley Canada Services Ltd.,6A.OTH,3053.Eng.Snr5A,30-06-25,75000,30-06-25,Hire,Yearly,FT,CAD,AR Monthly Salary Basis,,,Staff
Employee,8178866,8178866,US,Jane,Tester,ustester@test.com,9/999 main road,9/999 main road,United States,Texas,Montgomery,Spring,77380,,1112223333,111-11-1111,12/9/56,800547602800505000 USA - HOUSTON PROJECT MANAGEMENT,8178866,AR Buenos Aires - Alem,Worley Group Inc.,6A.OTH,2080.Plan.PlanPrinpl4B,30-06-25,36.05,30-06-25,Hire,Hourly,FT,USD,AR Monthly Salary Basis,,,Craft
Employee,8178850,8178866,Craft,Jane,Tester,crafttester@test.com,345,9/999 main road,United States,Texas,Montgomery,Spring,77380,3334445555,,333-33-3333,2/2/56,800757606815000101 USA-CONSTRUCTION FS PROJ CTRLS,3119816,AR Buenos Aires - Alem,Worley Field Services Inc.,6A.OTH,5306.Combo.J16A,30-06-25,25,30-06-25,Hire,Hourly,FT,USD,AR Monthly Salary Basis,,,Craft
Employee,8178850,8178866,Craft,Jane,Tester,crafttester@test.com,345,9/999 main road,United States,Texas,Montgomery,Spring,77380,3334445555,3334445555,,2/2/56,800757606815000101 USA-CONSTRUCTION FS PROJ CTRLS,8178850,AR Buenos Aires - Alem,Worley Field Services Inc.,6A.OTH,5306.Combo.J16A,30-06-25,25,30-06-25,Hire,Hourly,FT,USD,AR Monthly Salary Basis,,,Craft
Employee,8178383,8178866,Bobby,Jane,Tester,bnhglass@test.com,123 Main,9/999 main road,United States,Texas,Montgomery,Spring,77380,3334445555,3334445555,333-33-3333,2/2/56,800757606815000101 USA-CONSTRUCTION FS PROJ CTRLS,8178853,AR Buenos Aires - Alem,Worley Field Services Inc.,6A.OTH,5306.Combo.J16A,30-06-25,25,30-06-25,Hire,Hourly,FT,USD,AR Monthly Salary Basis,,,Craft
Employee,8178383,8178866,Bobby,Jane,Tester,bnhglass@test.com,123 Main,9/999 main road,United States,Texas,Montgomery,Spring,77380,3334445555,3334445555,333-33-3333,2/2/56,800757606815000101 USA-CONSTRUCTION FS PROJ CTRLS,8178848,AR Buenos Aires - Alem,Worley Field Services Inc.,6A.OTH,5306.Combo.J16A,30-06-25,25,30-06-25,Hire,Hourly,FT,USD,AR Monthly Salary Basis,,,Craft
Employee,8178246,,Bob,,Tester,bnhglass56@gmail.com,123,,United States,Texas,Montgomery,Spring,77380,2818149483,2818149483,445-23-2323,5/5/56,800067980816401928 USA-DIGITAL CONSULT,,AR Buenos Aires - Alem,Advisian Group LLC,,8040.Cslt.Prinpl4B,15-04-25,75000,15-04-25,Hire,Yearly,FT,USD,AR Monthly Salary Basis,,,Staff
Employee,8178246,,Bob,,Tester,bnhglass56@gmail.com,123,,United States,Texas,Montgomery,Spring,77380,2818149483,2818149483,445-23-2323,5/5/56,800067980816401928 USA-DIGITAL CONSULT,,AR Buenos Aires - Alem,Advisian Group LLC,,8040.Cslt.Prinpl4B,15-04-25,75000,15-04-25,Hire,Yearly,FT,USD,AR Monthly Salary Basis,,,Staff
Employee,3616669,,Bryan,,Mustafa,BMustafa_3616669@invalidemail.com,Aug-88,,,,,,,,,,,,,,,,,,,,,,,,,,,
